PWM Percentage ,Voltage ,,PWM  percentage, Encoder Value ,Speed  M/S,,,Without Load 60 percent PWM,,,Without Load 60 PWM,,,Without Load 60 PWM,,,Withload 60 PWM,,,With Load 60 PWM ,,,With Load PWM 60,,,Withload 30 PWM ,,,Withload 30 PWM ,,,Withload 30 PWM ,,,Withload 30 PWM ,,,Withload 30 PWM 
,,,42,634,0.386,,,20:30:02.356 -> 578,,,20:35:04.167 -> 562,,,20:37:00.949 -> 565,,,20:46:17.168 -> 506,,,20:55:14.460 -> 496,,,20:56:12.677 -> 500,,,20:59:07.206 -> 231,,,21:00:13.679 -> 244,,,21:01:06.722 -> 230,,,21:02:47.099 -> 238,,,21:03:57.350 -> 231
,,,41,613,0.374,,,20:30:02.356 -> 701,,,20:35:04.167 -> 573,,,20:37:00.949 -> 576,,,20:46:17.212 -> 516,,,20:55:14.460 -> 506,,,20:56:12.677 -> 510,,,20:59:07.206 -> 235,,,21:00:13.679 -> 249,,,21:01:06.722 -> 235,,,21:02:47.099 -> 243,,,21:03:57.350 -> 235
,,,40,602,0.367,,,20:30:02.356 -> 712,,,20:35:04.211 -> 583,,,20:37:00.949 -> 587,,,20:46:17.212 -> 527,,,20:55:14.460 -> 516,,,20:56:12.677 -> 520,,,20:59:07.254 -> 240,,,21:00:13.679 -> 253,,,21:01:06.771 -> 239,,,21:02:47.099 -> 248,,,21:03:57.350 -> 240
,,,39,583,0.355,,,20:30:02.404 -> 723,,,20:35:04.211 -> 594,,,20:37:00.949 -> 598,,,20:46:17.212 -> 537,,,20:55:14.460 -> 526,,,20:56:12.677 -> 530,,,20:59:07.254 -> 244,,,21:00:13.679 -> 258,,,21:01:06.771 -> 244,,,21:02:47.143 -> 252,,,21:03:57.397 -> 245
,,,38,566,0.345,,,20:30:02.404 -> 733,,,20:35:04.211 -> 604,,,20:37:00.998 -> 608,,,20:46:17.212 -> 547,,,20:55:14.508 -> 535,,,20:56:12.721 -> 540,,,20:59:07.254 -> 248,,,21:00:13.726 -> 262,,,21:01:06.771 -> 249,,,21:02:47.143 -> 257,,,21:03:57.397 -> 249
,,,37,554,0.338,,,20:30:02.404 -> 744,,,20:35:04.211 -> 615,,,20:37:00.998 -> 619,,,20:46:17.212 -> 558,,,20:55:14.508 -> 545,,,20:56:12.721 -> 549,,,20:59:07.254 -> 253,,,21:00:13.726 -> 267,,,21:01:06.771 -> 253,,,21:02:47.143 -> 262,,,21:03:57.397 -> 254
,,,36,534,0.325,,,20:30:02.404 -> 755,,,20:35:04.211 -> 627,,,20:37:00.998 -> 630,,,20:46:17.257 -> 568,,,20:55:14.508 -> 555,,,20:56:12.721 -> 559,,,20:59:07.254 -> 257,,,21:00:13.726 -> 271,,,21:01:06.771 -> 258,,,21:02:47.143 -> 267,,,21:03:57.397 -> 258
,,,35,524,0.319,,,20:30:02.404 -> 767,,,20:35:04.251 -> 637,,,20:37:00.998 -> 641,,,20:46:17.257 -> 579,,,20:55:14.508 -> 565,,,20:56:12.721 -> 569,,,20:59:07.298 -> 262,,,21:00:13.726 -> 276,,,21:01:06.815 -> 262,,,21:02:47.191 -> 271,,,21:03:57.397 -> 263
,,,34,504,0.307,,,20:30:02.448 -> 777,,,20:35:04.251 -> 648,,,20:37:00.998 -> 652,,,20:46:17.257 -> 589,,,20:55:14.508 -> 575,,,20:56:12.721 -> 579,,,20:59:07.298 -> 266,,,21:00:13.726 -> 281,,,21:01:06.815 -> 267,,,21:02:47.191 -> 276,,,21:03:57.442 -> 268
,,,33,492,0.3,,,20:30:02.448 -> 789,,,20:35:04.251 -> 659,,,20:37:01.043 -> 663,,,20:46:17.257 -> 599,,,20:55:14.554 -> 585,,,20:56:12.766 -> 589,,,20:59:07.298 -> 271,,,21:00:13.770 -> 285,,,21:01:06.815 -> 271,,,21:02:47.191 -> 281,,,21:03:57.442 -> 272
,,,32,492,0.3,,,20:30:02.448 -> 800,,,20:35:04.251 -> 669,,,20:37:01.043 -> 673,,,20:46:17.305 -> 610,,,20:55:14.554 -> 595,,,20:56:12.766 -> 599,,,20:59:07.298 -> 275,,,21:00:13.770 -> 290,,,21:01:06.815 -> 276,,,21:02:47.191 -> 285,,,21:03:57.442 -> 277
,,,31,466,0.284,,,20:30:02.448 -> 811,,,20:35:04.299 -> 680,,,20:37:01.043 -> 684,,,20:46:17.305 -> 621,,,20:55:14.554 -> 605,,,20:56:12.766 -> 608,,,20:59:07.346 -> 279,,,21:00:13.770 -> 294,,,21:01:06.815 -> 280,,,21:02:47.191 -> 290,,,21:03:57.442 -> 281
,,,30,448,0.273,,,20:30:02.493 -> 821,,,20:35:04.299 -> 690,,,20:37:01.043 -> 695,,,20:46:17.305 -> 631,,,20:55:14.554 -> 615,,,20:56:12.766 -> 618,,,20:59:07.346 -> 284,,,21:00:13.770 -> 299,,,21:01:06.859 -> 285,,,21:02:47.239 -> 295,,,21:03:57.485 -> 286
